t,gt_x,gt_y,gt_yaw,imu_gz,odo_v,odo_w,naive_x,naive_y,naive_yaw,ekf_x,ekf_y,ekf_yaw,ekf_bg,ekf_v
0.0,0.04971849642039016,0.0001829839988233909,0.0036803842797006325,0.07885667505221541,0.0,0.0,0.0,0.0,0.0039428337526108415,0.0,0.0,0.0003905278210228555,0.07106559632856745,0.0
0.05,0.09945298358800508,0.0005307695145340233,0.006992730131431202,0.06255826120826158,1.0523850319588028,0.07131493928114677,0.05261793624156308,0.00037205430535070633,0.007070746813023998,0.0022789435224399033,3.561124439673816e-06,0.0037433800426072555,0.03317340295891013,0.18473635555112397
0.1,0.14920206999599694,0.0010269754659491528,0.009973841397988625,0.06349054755845186,1.0243588734296036,0.06728895007784515,0.10383319187435439,0.0008967870018315624,0.010245274190946674,0.018285913529092247,9.373598345400716e-05,0.007037946123877117,0.02122977916316658,0.405634611944288
0.15000000000000002,0.19896455117386844,0.0016568449392229097,0.012656841537890262,0.05370637179456101,1.0033280719053368,0.05941418812483793,0.15399540161095507,0.001545450261532654,0.012930592780674655,0.04734550738005134,0.000357501428151251,0.009967704364584926,0.014614057860356088,0.5895773522300625
0.2,0.24873937670043772,0.0024070851028418425,0.015071541663801646,0.050751969474874266,1.0468294574396966,0.05424793442813164,0.20633061286808912,0.002355045888911613,0.01546819125441834,0.08605599208448902,0.0008268579262456333,0.012656228664035986,0.011014174274820647,0.7397913733184301
0.25,0.29852562352764445,0.0032657226832015873,0.017244771777122025,0.034690374739468295,0.5021552829317415,0.043871656123744204,0.23143466199540988,0.0027869461710477847,0.017202709991391618,0.11727838579286225,0.0013352924481945072,0.014825549114127442,0.00763035328097357,0.6595305790942166
0.3,0.34832247439709424,0.004221973541240202,0.019200678879110367,0.03721969024098084,0.8394247295450579,0.04349412513895135,0.2733982720169102,0.0035870245377871653,0.019063694503440587,0.16364217326878025,0.002108776849936695,0.016984492852519743,0.005609455172278319,0.828572594483087
0.35,0.39812920036463323,0.005266125013804314,0.020960995270900007,0.03557463752707953,0.47221665122016715,0.041686542699527006,0.2970039764111951,0.004079095948877267,0.02084242637979461,0.20387355597955442,0.0029178421866647643,0.0190559675264809,0.004099777490030906,0.7660447964248446
0.39999999999999997,0.4479451466373224,0.006389429800007165,0.02254528002351064,0.029745911636071525,0.6840191172470597,0.035176401322052166,0.33119640604767164,0.004842730320298626,0.022329721961598104,0.23962199121848962,0.0037086143316892553,0.0208044974465827,0.00299370484622469,0.6910248425891796
0.44999999999999996,0.49776972108028417,0.007584010281981448,0.02397113630086034,0.02986043501023749,1.103523659617146,0.05628602083812769,0.38635693288928347,0.006157054060047886,0.023822743712110128,0.27503170786476316,0.004702310134252234,0.02358711272252266,-0.00012452131111108768,0.7631690727826137
0.49999999999999994,0.5476023848748054,0.0088427722707881,0.025254406950474984,0.024381768714564312,1.0977990639372894,0.025929245614633042,0.44122967642299826,0.007531455397771627,0.025041832147838505,0.31585567685491983,0.00572498294437728,0.024882031961630444,-0.0002637916229005984,0.8510903909042973
0.5499999999999999,0.5974426449093174,0.010159327261792701,0.026409350535128162,0.017149351827896342,1.0466322100183134,0.01175226527526173,0.49354373657026585,0.008886655946627298,0.025899299739233328,0.3670507813734691,0.006985508764331289,0.02547586694713257,0.00025258265405937546,1.0329834422422506
0.6,0.6472900475659269,0.01152792236975359,0.02744879976131598,0.014860742202476148,1.0797056596379446,0.024056455526909836,0.5475098609275866,0.010324779893203247,0.02664233684935713,0.4192549419439989,0.008455653035744125,0.026668115325781297,-0.0005570189502102509,1.0733701385034875
0.65,0.6971441736306727,0.012943377192507004,0.02838430406488479,0.03471358815751976,1.0069569511003331,0.02272716337147259,0.5978374369850254,0.01175336016952602,0.028378016257232908,0.4724009385345444,0.009812623135125365,0.02781881511482889,0.0004595116113683659,1.0160436385599962
0.7000000000000001,0.7470046341085995,0.014401026923891166,0.029226257938097078,0.016525609315891802,1.1357063555370168,0.019643291906041516,0.6545985406412204,0.013411499713902788,0.02920429672302749,0.5240119436452548,0.011339076914675068,0.028796792368553537,0.0001837106217489717,1.119331304170365
0.7500000000000001,0.7968710667674613,0.015896671101872657,0.02998401642398818,0.008144120963162372,0.9900583466100377,0.016804537697905252,0.7040797564613703,0.014877141276577762,0.029611502771185627,0.579065354209135,0.013081353350957203,0.029626405922665577,-0.0004683743844831614,1.0077485511691087
0.8000000000000002,0.8467431332683406,0.017426527437191225,0.030665999061290083,0.02830198765823112,1.236642973943455,0.018431589635166033,0.7658821461857014,0.016795274971391348,0.031026602154097027,0.6297479865505485,0.014486537023480182,0.03056071437916009,0.00026393447423451506,1.0475136301147787
0.8500000000000002,0.8966205167692758,0.018987190221686642,0.031279783434861486,0.02590017208017313,1.263740993998398,0.017801127218273472,0.8290361934292799,0.01883722662018035,0.03232161075810547,0.6837056985685144,0.016066568232932798,0.03146067065094213,0.0007992388573958616,1.1041881205015085
0.9000000000000002,0.9465029199103988,0.02057559286426551,0.03183218937107579,0.011341114195440967,0.6289113202789016,0.011704659014005787,0.8604647542017732,0.01987124291941322,0.03288866646787758,0.732130093285456,0.017638904820122855,0.032044395822355354,0.0007223354785283596,0.9581444321443608
0.9500000000000003,0.9963900631071358,0.022188974146636845,0.032329354713668934,0.008752151516021125,1.1735110454939848,0.010888900105026243,0.919107725768515,0.021826318509583678,0.033326274043678605,0.7842883254182129,0.019387789679388073,0.03258503714778935,0.0005386999037628571,1.028849578023108
