t,gt_x,gt_y,gt_yaw,imu_gz,odo_v,odo_w,naive_x,naive_y,naive_yaw,ekf_x,ekf_y,ekf_yaw,ekf_bg,ekf_v
0.0,0.05067738118502743,2.457659635075538e-05,0.0004849618083917484,0.014817958444279362,1.0975283430476785,0.006312743449853806,0.05487640209073616,4.065781972702874e-05,0.000740897922213879,0.007494728501876012,5.55282979063557e-06,0.00032566754451015487,0.008306884309389185,0.22334297065570077
0.05,0.10131410360472896,7.123467485924809e-05,0.0009214274359443664,0.016403910815391963,0.7221211844471304,0.004369029891493055,0.09098241731763737,9.702272985946211e-05,0.0015610934629832762,0.025248978698366613,1.7527823057574105e-05,0.0005474066481705312,0.010159782858109437,0.33472529891791436
0.1,0.15191259918750366,0.00013773360890834168,0.0013142465007418558,0.01385695610219407,1.0372426808420658,0.022033109297374336,0.14284441962346106,0.00021391683505302665,0.0022539412680928628,0.055081964234797755,5.2715921152900484e-05,0.0016313661701605094,0.003978907780094729,0.4998744330949505
0.15000000000000002,0.20247515579141767,0.00022206109275832182,0.0016677836590592854,0.013496035209540028,0.990298287023265,0.0036134833711715156,0.19235912161680266,0.0003589330879553498,0.0029287430285700466,0.09137670407983592,0.00011112971691468553,0.0018187779595548563,0.005504846262410808,0.6185118899961648
0.2,0.25300392545536393,0.0003224096989196502,0.001985967101544972,0.006119973009950355,1.0249854444761586,0.007634097262803086,0.24360812571608761,0.0005247109557349513,0.0032347416790674544,0.13307430732373127,0.00020047235438211232,0.0021910027522976535,0.004012826158262964,0.7184274742453288
0.25,0.30350093223458174,0.0004371558709138076,0.002272332199782401,0.0017328614267585578,1.5780446450044028,0.007668483809832986,0.32250992275790696,0.0007867751448720886,0.003321384750405443,0.1940710281045216,0.00034983497564765553,0.002558784652389135,0.0021918680831675397,0.9316333169099471
0.3,0.35396807962979293,0.0005648410940771933,0.0025300607881959536,0.016862508346923193,1.0576223935490414,0.006194624466552727,0.3753905838735603,0.0010069984688887922,0.004164510167751434,0.25616673505187665,0.000496857479546062,0.0028837455987656977,0.003572127480840734,1.0555491070697227
0.35,0.4044071576217218,0.0007041550148950852,0.0027620165177681955,0.009198513258729548,0.9982947375924873,0.004666298805688221,0.42530478703066027,0.0012378251438718354,0.004624435830687723,0.3083672275992827,0.0006565919368579092,0.003118998811157528,0.0037146477796377473,1.0016415761442314
0.39999999999999997,0.4548198493245271,0.0008539203040841409,0.0029707766743833908,0.0050720537949465825,1.002913867424217,-0.004348120422005145,0.4754498837881532,0.0014824367976681886,0.004878038520435002,0.3584534322769868,0.0007741429057097774,0.00291434660051976,0.004501298013096596,1.0028393118314074
0.44999999999999996,0.5052077372728505,0.0010130790806308037,0.003158660815336667,0.014596516964344003,1.0234390830242468,0.0036464552052161924,0.5266210333100141,0.001769400671941406,0.005607864368652127,0.4086561308201846,0.0008909840184507888,0.003112431822418248,0.005339292873001952,1.022231937203768
0.49999999999999994,0.5555723093579028,0.0011806807335536672,0.0033277565421947486,0.013799336532638798,0.9437085472296837,0.0019479984801921413,0.5738055249243909,0.002066564563946337,0.006297831195284154,0.4595374168219047,0.0010085197098854836,0.0032270513610816324,0.006146155113911427,0.9483100150748293
0.5499999999999999,0.6059149644283734,0.0013558709955672152,0.0034799426963671998,0.00883766717197496,1.029479273508635,-0.004314999479134581,0.6252783195339607,0.0024134817596816334,0.006739714553882781,0.5071907108973431,0.0010957693493970592,0.0030311613988487124,0.006981609162109084,1.0247227578658709
0.6,0.6562370175720379,0.0015378821383279318,0.0036169102351224502,-0.0003634257373898407,0.9610386168841268,0.00630439132490147,0.6733291649097048,0.002736462459903093,0.006721543267013352,0.5582395990433775,0.0013866007691940119,0.0033052355637198175,0.005403637643491719,0.9647705052692203
0.65,0.7065397050938201,0.0017260241727562456,0.0037401810200021757,0.02151467416531918,0.9124210926882621,0.005743116178967686,0.7189488327274658,0.003092178854320135,0.00779727697527921,0.606324739366777,0.001459073549374868,0.00362540078132285,0.006572691752684441,0.9154887663942377
0.7000000000000001,0.7568241892057954,0.0019196769502399875,0.0038511247263937065,0.007833739036549546,1.263226368751992,0.002184012223098763,0.7821080334053617,0.0036093988318286066,0.008188963927106663,0.6521875063659148,0.0016399125711231938,0.0037315163644647056,0.006470697295568093,0.9439811483809277
0.7500000000000001,0.807091562444228,0.0021182830715051598,0.003950974062146173,0.012827921855081702,0.957844816929566,0.00035122067920311624,0.8299984070590529,0.004032299064651758,0.008830360019860706,0.6997382151804055,0.001752963101251497,0.003770042442554984,0.007123694486902676,0.957395747831902
0.8000000000000002,0.8573428518282699,0.002321341519736117,0.004040838464323571,-0.0010770531378449287,1.0426232668408193,0.0009635903749009503,0.882127562658298,0.0044898227298917435,0.008776507362968644,0.7479750855726277,0.002041619909307286,0.0037849691470838963,0.006140313490884015,1.0376365957920022
0.8500000000000002,0.9075790227744178,0.0025284019432716197,0.004121716426283228,0.005866357283018394,1.0811502224208447,0.0020458214827980834,0.9361828503623993,0.004980108185953226,0.009069825227119743,0.7999874673059284,0.0022713804303171464,0.0038785464613633543,0.005894015647350776,1.0786003388829335
0.9000000000000002,0.9578009827802618,0.002739059521011518,0.004194506592046565,0.017822672550801295,1.1715097108325425,0.001544827563348079,0.9947554299776766,0.005563566538688905,0.00996095885465964,0.8541901787818005,0.002356151577090534,0.003996019293155767,0.006987096620402206,1.1660652250558587
